"","species","body_mass_g","clutch_completion","sex"
"113","Adelie",3200,"Yes","FEMALE"
"114","Adelie",4275,"Yes","MALE"
"115","Adelie",3900,"Yes","FEMALE"
"116","Adelie",4075,"Yes","MALE"
"117","Adelie",2900,"Yes","FEMALE"
"118","Adelie",3775,"Yes","MALE"
"119","Adelie",3350,"Yes","FEMALE"
"120","Adelie",3325,"Yes","MALE"
"121","Adelie",3150,"No","FEMALE"
"122","Adelie",3500,"No","MALE"
"123","Adelie",3450,"Yes","FEMALE"
"124","Adelie",3875,"Yes","MALE"
"125","Adelie",3050,"Yes","FEMALE"
"126","Adelie",4000,"Yes","MALE"
"127","Adelie",3275,"Yes","FEMALE"
"128","Adelie",4300,"Yes","MALE"
"129","Adelie",3050,"Yes","FEMALE"
"130","Adelie",4000,"Yes","MALE"
"131","Adelie",3325,"No","FEMALE"
"132","Adelie",3500,"No","MALE"
"133","Adelie",3500,"Yes","FEMALE"
"134","Adelie",4475,"Yes","MALE"
"135","Adelie",3425,"Yes","FEMALE"
"136","Adelie",3900,"Yes","MALE"
"137","Adelie",3175,"Yes","FEMALE"
"138","Adelie",3975,"Yes","MALE"
"139","Adelie",3400,"No","FEMALE"
"140","Adelie",4250,"No","MALE"
"141","Adelie",3400,"Yes","FEMALE"
"142","Adelie",3475,"Yes","MALE"
"143","Adelie",3050,"Yes","FEMALE"
"144","Adelie",3725,"Yes","MALE"
"145","Adelie",3000,"Yes","FEMALE"
"146","Adelie",3650,"Yes","MALE"
"147","Adelie",4250,"Yes","MALE"
"148","Adelie",3475,"Yes","FEMALE"
"149","Adelie",3450,"Yes","FEMALE"
"150","Adelie",3750,"Yes","MALE"
"151","Adelie",3700,"Yes","FEMALE"
"152","Adelie",4000,"Yes","MALE"
"153","Gentoo",4500,"Yes","FEMALE"
"154","Gentoo",5700,"Yes","MALE"
"155","Gentoo",4450,"Yes","FEMALE"
"156","Gentoo",5700,"Yes","MALE"
"157","Gentoo",5400,"Yes","MALE"
"158","Gentoo",4550,"Yes","FEMALE"
"159","Gentoo",4800,"Yes","FEMALE"
"160","Gentoo",5200,"Yes","MALE"
"161","Gentoo",4400,"Yes","FEMALE"
"162","Gentoo",5150,"Yes","MALE"
"163","Gentoo",4650,"No","FEMALE"
"164","Gentoo",5550,"No","MALE"
"165","Gentoo",4650,"Yes","FEMALE"
"166","Gentoo",5850,"Yes","MALE"
"167","Gentoo",4200,"Yes","FEMALE"
"168","Gentoo",5850,"Yes","MALE"
"169","Gentoo",4150,"Yes","FEMALE"
"170","Gentoo",6300,"Yes","MALE"
"171","Gentoo",4800,"Yes","FEMALE"
"172","Gentoo",5350,"Yes","MALE"
"173","Gentoo",5700,"Yes","MALE"
"174","Gentoo",5000,"Yes","FEMALE"
"175","Gentoo",4400,"Yes","FEMALE"
"176","Gentoo",5050,"Yes","MALE"
"177","Gentoo",5000,"Yes","FEMALE"
"178","Gentoo",5100,"Yes","MALE"
"180","Gentoo",5650,"Yes","MALE"
"181","Gentoo",4600,"Yes","FEMALE"
"182","Gentoo",5550,"Yes","MALE"
"183","Gentoo",5250,"Yes","MALE"
"184","Gentoo",4700,"Yes","FEMALE"
"185","Gentoo",5050,"Yes","FEMALE"
"186","Gentoo",6050,"Yes","MALE"
"187","Gentoo",5150,"Yes","FEMALE"
"188","Gentoo",5400,"Yes","MALE"
"189","Gentoo",4950,"Yes","FEMALE"
"190","Gentoo",5250,"Yes","MALE"
"191","Gentoo",4350,"Yes","FEMALE"
"192","Gentoo",5350,"Yes","MALE"
"193","Gentoo",3950,"No","FEMALE"
"194","Gentoo",5700,"No","MALE"
"195","Gentoo",4300,"Yes","FEMALE"
"196","Gentoo",4750,"Yes","MALE"
"197","Gentoo",5550,"Yes","MALE"
"198","Gentoo",4900,"Yes","FEMALE"
"199","Gentoo",4200,"No","FEMALE"
"200","Gentoo",5400,"No","MALE"
"201","Gentoo",5100,"Yes","FEMALE"
"202","Gentoo",5300,"Yes","MALE"
"203","Gentoo",4850,"Yes","FEMALE"
"204","Gentoo",5300,"Yes","MALE"
"205","Gentoo",4400,"Yes","FEMALE"
"206","Gentoo",5000,"Yes","MALE"
"207","Gentoo",4900,"Yes","FEMALE"
"208","Gentoo",5050,"Yes","MALE"
"209","Gentoo",4300,"Yes","FEMALE"
"210","Gentoo",5000,"Yes","MALE"
"211","Gentoo",4450,"Yes","FEMALE"
"212","Gentoo",5550,"Yes","MALE"
"213","Gentoo",4200,"Yes","FEMALE"
"214","Gentoo",5300,"Yes","MALE"
"215","Gentoo",4400,"Yes","FEMALE"
"216","Gentoo",5650,"Yes","MALE"
"217","Gentoo",4700,"Yes","FEMALE"
"218","Gentoo",5700,"Yes","MALE"
"220","Gentoo",5800,"Yes","MALE"
"221","Gentoo",4700,"Yes","FEMALE"
"222","Gentoo",5550,"Yes","MALE"
"223","Gentoo",4750,"Yes","FEMALE"
"224","Gentoo",5000,"Yes","MALE"
"225","Gentoo",5100,"Yes","MALE"
"226","Gentoo",5200,"Yes","FEMALE"
"227","Gentoo",4700,"Yes","FEMALE"
"228","Gentoo",5800,"Yes","MALE"
"229","Gentoo",4600,"Yes","FEMALE"
"230","Gentoo",6000,"Yes","MALE"
"231","Gentoo",4750,"Yes","FEMALE"
"232","Gentoo",5950,"Yes","MALE"
"233","Gentoo",4625,"Yes","FEMALE"
"234","Gentoo",5450,"Yes","MALE"
"235","Gentoo",4725,"Yes","FEMALE"
"236","Gentoo",5350,"Yes","MALE"
"237","Gentoo",4750,"Yes","FEMALE"
"238","Gentoo",5600,"Yes","MALE"
"239","Gentoo",4600,"Yes","FEMALE"
"240","Gentoo",5300,"Yes","MALE"
"241","Gentoo",4875,"Yes","FEMALE"
"242","Gentoo",5550,"Yes","MALE"
"243","Gentoo",4950,"Yes","FEMALE"
"244","Gentoo",5400,"Yes","MALE"
"245","Gentoo",4750,"Yes","FEMALE"
"246","Gentoo",5650,"Yes","MALE"
"247","Gentoo",4850,"Yes","FEMALE"
"248","Gentoo",5200,"Yes","MALE"
"249","Gentoo",4925,"Yes","MALE"
"250","Gentoo",4875,"Yes","FEMALE"
"251","Gentoo",4625,"Yes","FEMALE"
"252","Gentoo",5250,"Yes","MALE"
"253","Gentoo",4850,"Yes","FEMALE"
"254","Gentoo",5600,"Yes","MALE"
"255","Gentoo",4975,"Yes","FEMALE"
"256","Gentoo",5500,"Yes","MALE"
"258","Gentoo",5500,"Yes","MALE"
"259","Gentoo",4700,"Yes","FEMALE"
"260","Gentoo",5500,"Yes","MALE"
"261","Gentoo",4575,"Yes","FEMALE"
"262","Gentoo",5500,"Yes","MALE"
"263","Gentoo",5000,"Yes","FEMALE"
"264","Gentoo",5950,"Yes","MALE"
"265","Gentoo",4650,"Yes","FEMALE"
"266","Gentoo",5500,"Yes","MALE"
"267","Gentoo",4375,"Yes","FEMALE"
"268","Gentoo",5850,"Yes","MALE"
"270","Gentoo",6000,"Yes","MALE"
"271","Gentoo",4925,"No","FEMALE"
"273","Gentoo",4850,"Yes","FEMALE"
"274","Gentoo",5750,"Yes","MALE"
"275","Gentoo",5200,"Yes","FEMALE"
"276","Gentoo",5400,"Yes","MALE"
"277","Chinstrap",3500,"No","FEMALE"
"278","Chinstrap",3900,"No","MALE"
"279","Chinstrap",3650,"Yes","MALE"
"280","Chinstrap",3525,"Yes","FEMALE"
"281","Chinstrap",3725,"Yes","MALE"
"282","Chinstrap",3950,"Yes","FEMALE"
"283","Chinstrap",3250,"Yes","FEMALE"
"284","Chinstrap",3750,"Yes","MALE"
"285","Chinstrap",4150,"Yes","FEMALE"
"286","Chinstrap",3700,"Yes","MALE"
"287","Chinstrap",3800,"Yes","FEMALE"
"288","Chinstrap",3775,"Yes","MALE"
"289","Chinstrap",3700,"Yes","FEMALE"
"290","Chinstrap",4050,"Yes","MALE"
"291","Chinstrap",3575,"Yes","FEMALE"
"292","Chinstrap",4050,"Yes","MALE"
"293","Chinstrap",3300,"No","MALE"
"294","Chinstrap",3700,"No","FEMALE"
"295","Chinstrap",3450,"Yes","FEMALE"
"296","Chinstrap",4400,"Yes","MALE"
"297","Chinstrap",3600,"Yes","FEMALE"
"298","Chinstrap",3400,"Yes","MALE"
"299","Chinstrap",2900,"No","FEMALE"
"300","Chinstrap",3800,"No","MALE"
"301","Chinstrap",3300,"No","FEMALE"
"302","Chinstrap",4150,"No","MALE"
"303","Chinstrap",3400,"No","FEMALE"
"304","Chinstrap",3800,"No","MALE"
"305","Chinstrap",3700,"Yes","FEMALE"
"306","Chinstrap",4550,"Yes","MALE"
"307","Chinstrap",3200,"Yes","FEMALE"
"308","Chinstrap",4300,"Yes","MALE"
"309","Chinstrap",3350,"Yes","FEMALE"
"310","Chinstrap",4100,"Yes","MALE"
"311","Chinstrap",3600,"Yes","MALE"
"312","Chinstrap",3900,"Yes","FEMALE"
"313","Chinstrap",3850,"Yes","FEMALE"
"314","Chinstrap",4800,"Yes","MALE"
"315","Chinstrap",2700,"No","FEMALE"
"316","Chinstrap",4500,"No","MALE"
"317","Chinstrap",3950,"Yes","MALE"
"318","Chinstrap",3650,"Yes","FEMALE"
"319","Chinstrap",3550,"Yes","MALE"
"320","Chinstrap",3500,"Yes","FEMALE"
"321","Chinstrap",3675,"Yes","FEMALE"
"322","Chinstrap",4450,"Yes","MALE"
"323","Chinstrap",3400,"Yes","FEMALE"
"324","Chinstrap",4300,"Yes","MALE"
"325","Chinstrap",3250,"Yes","MALE"
"326","Chinstrap",3675,"Yes","FEMALE"
"327","Chinstrap",3325,"Yes","FEMALE"
"328","Chinstrap",3950,"Yes","MALE"
"329","Chinstrap",3600,"Yes","FEMALE"
"330","Chinstrap",4050,"Yes","MALE"
"331","Chinstrap",3350,"Yes","FEMALE"
"332","Chinstrap",3450,"Yes","MALE"
"333","Chinstrap",3250,"Yes","FEMALE"
"334","Chinstrap",4050,"Yes","MALE"
"335","Chinstrap",3800,"Yes","MALE"
"336","Chinstrap",3525,"Yes","FEMALE"
"337","Chinstrap",3950,"Yes","MALE"
"338","Chinstrap",3650,"Yes","FEMALE"
"339","Chinstrap",3650,"Yes","FEMALE"
"340","Chinstrap",4000,"Yes","MALE"
"341","Chinstrap",3400,"No","FEMALE"
"342","Chinstrap",3775,"No","MALE"
"343","Chinstrap",4100,"Yes","MALE"
"344","Chinstrap",3775,"Yes","FEMALE"
